id,classification,code,description,distributed_to,implanted,name,number,quantity_in_commerce,risk_class,slug,country,manufacturer_id,created_at,updated_at,device_type,device_age_years,is_implanted,quantity_in_commerce_log,risk_class_clean,risk_class_encoded,manufacturer_device_count,manufacturer_name,parent_company,previous_event_count,events_last_1_year,events_last_3_years,events_last_5_years,previous_recall_count,previous_high_severity_event_count,days_since_last_event,recent_event_frequency,manufacturer_event_count,manufacturer_recall_count,manufacturer_event_rate,future_event,device_id,temperature,vibration,power_consumption,voltage,operating_hours,error_rate,battery_health,health_score,rolling_temp_mean_5,rolling_vib_mean_5,rolling_power_mean_5,temperature_change_rate,vibration_change_rate,power_change_rate,voltage_variability,telemetry_failure_label,telemetry_anomaly_score,failure_risk_score,risk_level,anomaly_score,maintenance_priority_score,priority_level
1,,,IVD Other,,,Cell-Dyn Emerald Cleanser,,0.0,,tur-cell-dyn-emerald-cleanser,TUR,1,2022-08-04 08:28:00 UTC,2022-08-04 08:28:00 UTC,Other,0.0,0,0.0,IVD Other,2,1,Abbot Laboratories,Abbott Laboratories,0.0,0.0,0.0,0.0,0.0,0.0,3650.0,0.0,0.0,0.0,0.0,1,1,47.52,1.863,164.89,224.05,1580,11.53,56.0,0.0,45.978,1.673,164.814,1.0100000000000051,0.10000000000000009,-3.390000000000015,2.335540622639614,1,57.4,76.2,HIGH,57.4,52.3,MODERATE
2,,,Class IIB,,,"TECNIS Monofocal 1-piece, TECNIS 1-Piece IOL with the TECNIS iTec Preloaded Delivery System,  SENSAR Acrylic Monofocal TECNIS Multifocal 1-piece, TECNIS Symfony Extended Range of Vision Foldable Acrylic 1-Piece",,0.0,,tur-tecnis-monofocal-1-piece-tecnis-1-piece-iol-with-the-tecnis-itec-preloaded-delivery-system,TUR,2,2022-08-04 08:28:00 UTC,2022-08-04 08:28:00 UTC,Other,0.0,0,0.0,Class IIB,3,1,Abbott Medical Optics (AMO) Inc.,Johnson & Johnson,0.0,0.0,0.0,0.0,0.0,0.0,3650.0,0.0,0.0,0.0,0.0,1,2,36.4,0.148,127.41,221.77,1249,0.48,90.5,96.0,36.404,0.1596,126.54400000000001,0.04999999999999716,-0.034,-0.960000000000008,0.2874543442008362,0,32.2,78.4,HIGH,32.2,50.7,MODERATE
3,,,Class IIA,,,Centurion FMS Package for Centurion Vision System,,0.0,,tur-centurion-fms-package-for-centurion-vision-system,TUR,3,2022-08-04 08:28:00 UTC,2022-08-04 08:28:00 UTC,Other,0.0,0,0.0,Class IIA,2,1,Alcon Laboratories Inc.,Novartis Ag,0.0,0.0,0.0,0.0,0.0,0.0,3650.0,0.0,0.0,0.0,0.0,1,3,35.76,0.183,125.33,219.68,2579,0.42,90.3,97.0,35.82,0.178,125.88999999999999,-0.020000000000003126,0.032,0.9399999999999977,0.28804513535221454,0,13.1,79.3,HIGH,13.1,42.5,MODERATE
4,,,Class IIB,,,Focusforce intraocular foldable lenses,,0.0,,tur-focusforce-intraocular-foldable-lenses,TUR,4,2022-08-04 08:28:00 UTC,2022-08-04 08:28:00 UTC,Implantable,0.0,0,0.0,Class IIB,3,1,ANADOLU TIP TEKNO.ÜRETİM PAZ.İTH İHRTİC SAN AŞ,,0.0,0.0,0.0,0.0,0.0,0.0,3650.0,0.0,0.0,0.0,0.0,1,4,48.16,1.883,169.48,228.01,658,11.6,57.3,0.0,47.047999999999995,1.682,159.83599999999998,0.4399999999999977,0.07400000000000007,15.409999999999997,5.666955090699047,1,57.0,80.3,CRITICAL,57.0,57.6,MODERATE
5,,,IVD Other,,,Cholesterol HDL Direct,,0.0,,tur-cholesterol-hdl-direct,TUR,5,2022-08-04 08:28:00 UTC,2022-08-04 08:28:00 UTC,Imaging,0.0,0,0.0,IVD Other,2,1,ARCHEM SAĞLIK SANAYİ TİCARET LİMİTED ŞİRKETİ,,0.0,0.0,0.0,0.0,0.0,0.0,3650.0,0.0,0.0,0.0,0.0,1,5,36.7,0.186,107.99,218.35,1808,0.31,92.1,95.5,36.576,0.1824,109.16199999999999,0.15000000000000568,-0.008000000000000007,-1.5799999999999983,0.3938527643675863,0,31.6,66.1,HIGH,31.6,41.8,MODERATE
6,,,IVD Other,,,Blood Glucose Test Strip,,0.0,,tur-blood-glucose-test-strip,TUR,6,2022-08-04 08:28:00 UTC,2022-08-04 08:28:00 UTC,Diagnostic,0.0,0,0.0,IVD Other,2,1,ARKRAY Inc.,Arkray Inc.,0.0,0.0,0.0,0.0,0.0,0.0,3650.0,0.0,0.0,0.0,0.0,1,6,37.42,0.238,115.93,221.43,2353,0.33,90.7,92.2,37.245999999999995,0.2212,115.974,0.17999999999999972,0.0069999999999999785,1.4500000000000028,0.585943683300676,0,37.4,77.6,HIGH,37.4,47.9,MODERATE
7,,,Class IIA,,,Super Arrow-Flex(R) Percutaneous Sheath Introducer Set,,0.0,,tur-super-arrow-flex-r-percutaneous-sheath-introducer-set,TUR,7,2022-08-04 08:28:00 UTC,2022-08-04 08:28:00 UTC,Other,0.0,0,0.0,Class IIA,2,2,Arrow International Inc.,Teleflex Incorporated,0.0,0.0,0.0,0.0,0.0,0.0,3650.0,0.0,0.0,0.0,0.0,1,7,36.88,0.148,126.86,219.74,743,0.29,89.3,95.0,36.81,0.1432,129.08200000000002,0.10999999999999943,0.03499999999999999,-6.730000000000004,0.3220558957696616,0,15.5,73.1,HIGH,15.5,40.6,MODERATE
8,,,Class III,,,Catheter introducer,,0.0,,tur-catheter-introducer,TUR,7,2022-08-04 08:28:00 UTC,2022-08-04 08:28:00 UTC,Infusion,0.0,0,0.0,Class III,4,2,Arrow International Inc.,Teleflex Incorporated,0.0,0.0,0.0,0.0,0.0,0.0,3650.0,0.0,0.0,0.0,0.0,1,8,37.02,0.155,123.65,219.93,2497,0.12,88.9,94.9,36.806,0.1974,122.252,0.28000000000000114,-0.032,2.8000000000000114,0.2774526986713315,0,22.3,65.5,HIGH,22.3,46.8,MODERATE
9,,,Class IIA,,,22g Bi-Manual Aspiration Pull Handle 0.38mm Port,,0.0,,tur-22g-bi-manual-aspiration-pull-handle-0-38mm-port,TUR,8,2022-08-04 08:28:00 UTC,2022-08-04 08:28:00 UTC,Other,0.0,0,0.0,Class IIA,2,1,Aspen Medical,"Hill-Rom Holdings, Inc",0.0,0.0,0.0,0.0,0.0,0.0,3650.0,0.0,0.0,0.0,0.0,1,9,47.95,1.881,157.78,219.64,948,11.83,56.7,0.0,46.596000000000004,1.6712,159.004,0.9299999999999997,0.09899999999999998,-3.1899999999999977,2.4442422138569495,1,35.2,72.2,HIGH,35.2,45.2,MODERATE
10,,,Class III,,,Spinocath,,0.0,,tur-spinocath,TUR,9,2022-08-04 08:28:00 UTC,2022-08-04 08:28:00 UTC,Other,0.0,0,0.0,Class III,4,1,B. Braun Melsungen AG,Ludwig G. Braun Gmbh U. Co. Kg,0.0,0.0,0.0,0.0,0.0,0.0,3650.0,0.0,0.0,0.0,0.0,1,10,35.99,0.244,108.18,216.82,1001,0.28,90.6,95.7,35.818,0.20259999999999997,110.88200000000002,0.38000000000000256,0.021999999999999992,-1.7999999999999972,0.5814034743618698,0,51.0,73.5,HIGH,51.0,57.2,MODERATE
